AA	odd     AA D	ɑ
AE	at	AE T	æ
AH	hut	HH AH T	ʌ
AO	ought	AO T	ɔ
AW	cow	K AW	aʊ
AY	hide	HH AY D	aɪ
B	be	B IY	b
CH	cheese	CH IY Z	t͡ʃ
D	dee	D IY	d
DH	thee	DH IY	ð
EH	Ed	EH D	ɛ
ER	hurt	HH ER T	ɹ̩
EY	ate	EY T	eɪ
F	fee	F IY	f
G	green	G R IY N	ɡ
HH	he	HH IY	h
IH	it	IH T	ɪ
IY	eat	IY T	i
JH	gee	JH IY	d͡ʒ
K	key	K IY	k
L	lee	L IY	l
M	me	M IY	m
N	knee	N IY	n
NG	ping	P IH NG	ŋ
OW	oat	OW T	oʊ
OY	toy	T OY	ɔɪ
P	pee	P IY	p
R	read	R IY D	ɹ
S	sea	S IY	s
SH	she	SH IY	ʃ
T	tea	T IY	t
TH	theta	TH EY T AH	θ
UH	hood	HH UH D	ʊ
UW	two	T UW	u
V	vee	V IY	v
W	we	W IY	w
Y	yield	Y IY L D	j
Z	zee	Z IY	z
ZH	seizure	S IY ZH ER	ʒ
		ʔ
