!exclamation-point       ɛksklʌmeɪʃʌnpɔɪnt        
"close-quote             kloʊzkwoʊt               
"double-quote            dʌbʌlkwoʊt               
"end-of-quote            ɛndʌvkwoʊt               
"end-quote               ɛndkwoʊt                 
"in-quotes               ɪnkwoʊts                 
"quote                   kwoʊt                    
"unquote                 ʌnkwoʊt                  
#hash-mark               hæmɑɹk                   
#pound-sign              paʊndsaɪn                
#sharp-sign              ʃɑɹpsaɪn                 
%percent                 pɹ̩sɛnt                  
&ampersand               æmpɹ̩sænd                
'allo                    ɑloʊ                     
'apostrophe              ʌpɑstɹʌfi                
'bout                    baʊt                     
'cause                   kʌz                      
'course                  kɔɹs                     
'cuse                    kjuz                     
'em                      ʌm                       
'end-inner-quote         ɛndɪnɹ̩kwoʊt             
'end-quote               ɛndkwoʊt                 
'frisco                  fɹɪskoʊ                  
'gain                    ɡɛn                      
'inner-quote             ɪnɹ̩kwoʊt                
'kay                     keɪ                      
'm                       ʌm                       
'n                       ʌn                       
'quote                   kwoʊt                    
'round                   ɹaʊnd                    
's                       ɛs                       
'single-quote            sɪŋɡʌlkwoʊt              
'til                     tɪl                      
'tis                     tɪz                      
'twas                    twʌz                     
(begin-parens            bɪɡɪnpɹ̩ɛnz              
(in-parentheses          ɪnpɹ̩ɛnθʌsiz             
(left-paren              lɛftpɹ̩ɛn                
(open-parentheses        oʊpʌnpɹ̩ɛnθʌsiz          
(paren                   pɹ̩ɛn                    
(parens                  pɹ̩ɛnz                   
(parentheses             pɹ̩ɛnθʌsiz               
)close-paren             kloʊzpɹ̩ɛn               
)close-parentheses       kloʊzpɹ̩ɛnθʌsiz          
)end-paren               ɛndpɹ̩ɛn                 
)end-parens              ɛndpɹ̩ɛnz                
)end-parentheses         ɛndpɹ̩ɛnθʌsiz            
)end-the-paren           ɛndðʌpɹ̩ɛn               
)paren                   pɹ̩ɛn                    
)parens                  pɹ̩ɛnz                   
)right-paren             ɹaɪtpɛɹʌn                
)un-parentheses          ʌnpɹ̩ɛnθʌsiz             
+plus                    plʊs                     
,comma                   kɑmʌ                     
--dash                   dæʃ                      
-dash                    dæʃ                      
-hyphen                  haɪfʌn                   
...ellipsis              ɪlɪpsɪs                  
.decimal                 dɛsʌmʌl                  
.dot                     dɑt                      
.full-stop               fʊlstɑp                  
.period                  pɪɹiʌd                   
.point                   pɔɪnt                    
/slash                   slæʃ                     
3-d                      θɹidi                    
3d                       θɹidi                    
:colon                   koʊlʌn                   
;semi-colon              sɛmikoʊlʌn               
;semi-colon(1)           sɛmɪkoʊlʌn               
?question-mark           kwɛstʃʌnmɑɹk             
a                        ʌ                        
a(1)                     eɪ                       
a's                      eɪz                      
a.                       eɪ                       
a.'s                     eɪz                      
a.s                      eɪz                      
a42128                   eɪfɔɹtuwʌntueɪt          
aa                       eɪeɪ                     
aaa                      tɹɪpʌleɪ                 
aaberg                   ɑbɹ̩ɡ                    
aachen                   ɑkʌn                     
aachener                 ɑkʌnɹ̩                   
aah                      ɑ                        
aaker                    ɑkɹ̩                     
aaliyah                  ɑliɑ                     
aalseth                  ɑlsɛθ                    
aamodt                   ɑmʌt                     
aancor                   ɑnkɔɹ                    
aardema                  ɑɹdɛmʌ                   
aardvark                 ɑɹdvɑɹk                  
aardvarks                ɑɹdvɑɹks                 
aargh                    ɑɹɡ                      
aaron                    ɛɹʌn                     
aaron's                  ɛɹʌnz                    
aarons                   ɛɹʌnz                    
aaronson                 ɛɹʌnsʌn                  
aaronson(1)              ɑɹʌnsʌn                  
aaronson's               ɛɹʌnsʌnz                 
aaronson's(1)            ɑɹʌnsʌnz                 
aarti                    ɑɹti                     
aase                     ɑs                       
aasen                    ɑsʌn                     
ab                       æb                       
aba                      eɪbieɪ                   
ababa                    ʌbɑbʌ                    
ababa(1)                 ɑbʌbʌ                    
abacha                   æbʌkʌ                    
aback                    ʌbæk                     
abaco                    æbʌkoʊ                   
abacus                   æbʌkʌs                   
abad                     ʌbɑd                     
abadaka                  ʌbædʌkʌ                  
abadi                    ʌbædi                    
abadie                   ʌbædi                    
abair                    ʌbɛɹ                     
abalkin                  ʌbɑlkɪn                  
abalone                  æbʌloʊni                 
abalones                 æbʌloʊniz                
abalos                   ɑbɑloʊz                  
abandon                  ʌbændʌn                  
abandoned                ʌbændʌnd                 
abandoning               ʌbændʌnɪŋ                
abandonment              ʌbændʌnmʌnt              
abandonments             ʌbændʌnmʌnts             
abandons                 ʌbændʌnz                 
abanto                   ʌbæntoʊ                  
abarca                   ʌbɑɹkʌ                   
abare                    ɑbɑɹi                    
abascal                  æbʌskʌl                  
abash                    ʌbæʃ                     
abashed                  ʌbæʃt                    
abasia                   ʌbeɪʒjʌ                  
abate                    ʌbeɪt                    
abated                   ʌbeɪtɪd                  
abatement                ʌbeɪtmʌnt                
abatements               ʌbeɪtmʌnts               
abates                   ʌbeɪts                   
abating                  ʌbeɪtɪŋ                  
abba                     æbʌ                      
abbado                   ʌbɑdoʊ                   
abbas                    ʌbɑs                     
abbasi                   ɑbɑsi                    
abbate                   ɑbeɪt                    
abbatiello               ɑbɑtiɛloʊ                
abbe                     æbi                      
abbe(1)                  æbeɪ                     
abbenhaus                æbʌnhaʊs                 
abbett                   ʌbɛt                     
abbeville                æbvɪl                    
abbey                    æbi                      
abbey's                  æbiz                     
abbie                    æbi                      
abbitt                   æbɪt                     
abbot                    æbʌt                     
abbotstown               æbʌtstaʊn                
abbott                   æbʌt                     
abbott's                 æbʌts                    
abbottstown              æbʌtstaʊn                
abboud                   ʌbud                     
abboud(1)                ʌbaʊd                    
abbreviate               ʌbɹivieɪt                
abbreviated              ʌbɹivieɪtɪd              
abbreviates              ʌbɹivieɪts               
abbreviating             ʌbɹivieɪtɪŋ              
abbreviation             ʌbɹivieɪʃʌn              
abbreviations            ʌbɹivieɪʃʌnz             
abbruzzese               ɑbɹutseɪzi               
abbs                     æbz                      
abby                     æbi                      
abc                      eɪbisi                   
abc's                    eɪbisiz                  
abco                     æbkoʊ                    
abcotek                  æbkoʊtɛk                 
abcs                     eɪbisiz                  
abdalla                  æbdælʌ                   
abdallah                 æbdælʌ                   
abdel                    æbdɛl                    
abdella                  æbdɛlʌ                   
abdicate                 æbdʌkeɪt                 
abdicated                æbdʌkeɪtʌd               
abdicates                æbdʌkeɪts                
abdicating               æbdɪkeɪtɪŋ               
abdication               æbdɪkeɪʃʌn               
abdnor                   æbdnɹ̩                   
abdo                     æbdoʊ                    
abdollah                 æbdɑlʌ                   
abdomen                  æbdoʊmʌn                 
abdomen(1)               æbdʌmʌn                  
abdominal                æbdɑmʌnʌl                
abdominal(1)             ʌbdɑmʌnʌl                
abduct                   æbdʌkt                   
abducted                 æbdʌktɪd                 
abducted(1)              ʌbdʌktɪd                 
abductee                 æbdʌkti                  
abductees                æbdʌktiz                 
abducting                æbdʌktɪŋ                 
abducting(1)             ʌbdʌktɪŋ                 
abduction                æbdʌkʃʌn                 
abduction(1)             ʌbdʌkʃʌn                 
abductions               æbdʌkʃʌnz                
abductions(1)            ʌbdʌkʃʌnz                
abductor                 æbdʌktɹ̩                 
abductor(1)              ʌbdʌktɹ̩                 
abductors                æbdʌktɹ̩z                
abductors(1)             ʌbdʌktɹ̩z                
abducts                  æbdʌkts                  
abdul                    æbdul                    
abdulaziz                æbdulʌziz                
abdulla                  ɑbdulʌ                   
abdullah                 æbdʌlʌ                   
abe                      eɪb                      
abed                     ʌbɛd                     
abedi                    ʌbɛdi                    
abee                     ʌbi                      
abel                     eɪbʌl                    
abela                    ɑbɛlʌ                    
abelard                  æbɪlɹ̩d                  
abele                    ʌbɛl                     
abeles                   ʌbɛlz                    
abeles(1)                eɪbʌliz                  
abell                    eɪbʌl                    
abella                   ʌbɛlʌ                    
abeln                    æbɪln                    
abelow                   æbʌloʊ                   
abels                    eɪbʌlz                   
abelson                  æbɪlsʌn                  
abend                    æbɛnd                    
abend(1)                 ʌbɛnd                    
abendroth                æbɪndɹɔθ                 
aber                     eɪbɹ̩                    
abercrombie              æbɹ̩kɹɑmbi               
aberdeen                 æbɹ̩din                  
aberford                 eɪbɹ̩fɹ̩d                
aberg                    æbɹ̩ɡ                    
aberle                   æbɹ̩ʌl                   
aberle(1)                æbɹ̩l                    
abermin                  æbɹ̩mɪn                  
abernathy                æbɹ̩næθi                 
abernethy                æbɹ̩nɛθi                 
aberrant                 æbɛɹʌnt                  
aberration               æbɹ̩eɪʃʌn                
aberrational             æbɹ̩eɪʃʌnʌl              
aberrations              æbɹ̩eɪʃʌnz               
abert                    æbɹ̩t                    
abet                     ʌbɛt                     
abetted                  ʌbɛtɪd                   
abetting                 ʌbɛtɪŋ                   
abex                     eɪbɛks                   
abeyance                 ʌbeɪʌns                  
abeyta                   ɑbeɪtʌ                   
abhor                    æbhɔɹ                    
